"","contrast","domain","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"32","(GPT-4o-mini) - (Grok-4)","Mathematical Logic",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"33","(Grok-3) - (Grok-4)","Mathematical Logic",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"34","(LLaMA-3.3-70B) - (Grok-4)","Mathematical Logic",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"35","(o3-mini) - (Grok-4)","Mathematical Logic",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"36","(Claude-Opus-4) - (Grok-4)","Probability",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"37","(DeepSeek-V3-685B) - (Grok-4)","Probability",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"38","(GPT-4o) - (Grok-4)","Probability",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"39","(GPT-4o-mini) - (Grok-4)","Probability",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"40","(Grok-3) - (Grok-4)","Probability",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"41","(LLaMA-3.3-70B) - (Grok-4)","Probability",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"42","(o3-mini) - (Grok-4)","Probability",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"43","(Claude-Opus-4) - (Grok-4)","Theory of Numbers",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"44","(DeepSeek-V3-685B) - (Grok-4)","Theory of Numbers",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"45","(GPT-4o) - (Grok-4)","Theory of Numbers",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"46","(GPT-4o-mini) - (Grok-4)","Theory of Numbers",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"47","(Grok-3) - (Grok-4)","Theory of Numbers",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"48","(LLaMA-3.3-70B) - (Grok-4)","Theory of Numbers",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"49","(o3-mini) - (Grok-4)","Theory of Numbers",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
