contrast,domain,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
(LLaMA-3.3-70B) / (Grok-4),Combinatoria,0.003369620111845361,0.0015732935625923032,Inf,9.596118081176119e-4,0.011832221740190522,1,-12.192954335458769,2.3723570983470203e-33
(o3-mini) / (Grok-4),Combinatoria,0.22961295853806907,0.09101223437829663,Inf,0.07905232636999267,0.6669267452275475,1,-3.712065366924579,2.0557487617078594e-4
(Claude-Opus-4) / (Grok-4),Geometría,0.19984135176892823,0.05454135144782977,Inf,0.09590233907749647,0.41642952884142587,1,-5.89994242456695,7.272568832783991e-9
(DeepSeek-V3-685B) / (Grok-4),Geometría,0.15947976529018185,0.04383738717540507,Inf,0.0761318474292844,0.334075638459133,1,-6.6787522844580245,7.22955287165833e-11
(GPT-4o) / (Grok-4),Geometría,0.05747247806529112,0.01691214768074963,Inf,0.02604174150596654,0.12683812771156586,1,-9.707058539214286,1.6880334332266292e-21
(GPT-4o-mini) / (Grok-4),Geometría,0.04450041397667021,0.013479731320762845,Inf,0.01970023785747717,0.10052096113872112,1,-10.27444183625327,6.431229072114425e-24
(Grok-3) / (Grok-4),Geometría,0.13999487747188888,0.03868295921330789,Inf,0.06657192492167281,0.294396860860317,1,-7.115558283439746,4.458429261690331e-12
(LLaMA-3.3-70B) / (Grok-4),Geometría,0.07255427193395694,0.020892080789316814,Inf,0.03343873380958683,0.15742588836773946,1,-9.110646296067298,4.094632833701636e-19
(o3-mini) / (Grok-4),Geometría,1.89503082399557,0.5572655945473423,Inf,0.8591285505697601,4.179981938106634,1,2.173775374615674,0.029722008777233404
(Claude-Opus-4) / (Grok-4),Lógica Matemática,0.4849774794400689,0.18563474952158215,Inf,0.17319353650442582,1.3580365659779228,1,-1.8905691047725288,0.17604566307192898
(DeepSeek-V3-685B) / (Grok-4),Lógica Matemática,0.6321636342408267,0.24663163483071163,Inf,0.2213249229649915,1.8056297280165872,1,-1.175496688261129,0.47959212268771645
(GPT-4o) / (Grok-4),Lógica Matemática,0.07790856408311683,0.02861510590210301,Inf,0.0290054330551536,0.2092623249565539,1,-6.948768562678513,2.210930871730685e-11
(GPT-4o-mini) / (Grok-4),Lógica Matemática,0.030406939063904372,0.011460362872770207,Inf,0.01103166377342836,0.08381165001266686,1,-9.267944377377017,1.3283747094665561e-19
(Grok-3) / (Grok-4),Lógica Matemática,0.21160774528813342,0.0780979356938292,Inf,0.07840575215583781,0.5711039896272909,1,-4.207937946693961,1.0308464358505506e-4
(LLaMA-3.3-70B) / (Grok-4),Lógica Matemática,0.08132343651028112,0.029853825200161922,Inf,0.03029235333613935,0.2183224674707493,1,-6.835526377691774,4.0852231353100115e-11
(o3-mini) / (Grok-4),Lógica Matemática,1.3067664016082865,0.5476403635097525,Inf,0.4232395909066474,4.034684998901527,1,0.6384350196322536,0.5231905407870441
(Claude-Opus-4) / (Grok-4),Probabilidad,0.2083044871994539,0.08255479311127374,Inf,0.07172665104827543,0.6049461218846454,1,-3.958323511152591,1.509553634890832e-4
(DeepSeek-V3-685B) / (Grok-4),Probabilidad,0.14631268285170432,0.057714306694630416,Inf,0.050633274610005635,0.42279314004773233,1,-4.872523831838124,3.3054468030083714e-6
(GPT-4o) / (Grok-4),Probabilidad,0.06761933829300967,0.026534447691807357,Inf,0.02352986331115488,0.19432220454153012,1,-6.8649296368190225,3.3262017226296264e-11
(GPT-4o-mini) / (Grok-4),Probabilidad,0.05094888851627436,0.020023916681758354,Inf,0.0176998632822069,0.1466558921759139,1,-7.574511822714309,2.162883400960552e-13
(Grok-3) / (Grok-4),Probabilidad,0.10582952394911241,0.04160060083951324,Inf,0.03675861126422577,0.3046874665310252,1,-5.713505274721072,4.426897672088298e-8
(LLaMA-3.3-70B) / (Grok-4),Probabilidad,0.04643144250319843,0.01826641335306214,Inf,0.01611372406262424,0.1337914714531063,1,-7.803077536033718,4.22907829099073e-14
(o3-mini) / (Grok-4),Probabilidad,0.653796076687484,0.2645975503562917,Inf,0.2201000764532119,1.9420679755320849,1,-1.050036329254637,0.29370141017671253
(Claude-Opus-4) / (Grok-4),Teoria de Números,0.1328797207857675,0.06363260349727924,Inf,0.03664297245225432,0.4818664811952846,1,-4.214704036842885,7.503178610173295e-5
(DeepSeek-V3-685B) / (Grok-4),Teoria de Números,0.13933889674310931,0.06686155131923387,Inf,0.0383235361928795,0.5066163009559185,1,-4.107226511132925,8.008769744914937e-5
(GPT-4o) / (Grok-4),Teoria de Números,0.007126730162778677,0.003425833097885183,Inf,0.0019556285031808933,0.025971334908673767,1,-10.284756980550034,4.127502787640094e-24
(GPT-4o-mini) / (Grok-4),Teoria de Números,0.0066253146690761645,0.003191924315313564,Inf,0.0018127860822209517,0.024213995735502165,1,-10.413235313388336,1.2945709621222822e-24
(Grok-3) / (Grok-4),Teoria de Números,0.025957755058271643,0.012166934880889567,Inf,0.007356325995286165,0.09159532191708095,1,-7.7898960728576565,2.6825733635690676e-14
(LLaMA-3.3-70B) / (Grok-4),Teoria de Números,0.0033629248192087384,0.0016623043910961707,Inf,8.896576228635271e-4,0.01271192765510082,1,-11.521156596020607,7.225128895855374e-30
(o3-mini) / (Grok-4),Teoria de Números,0.5051075692083148,0.2686477684012614,Inf,0.12078390853876432,2.1123149561735697,1,-1.2841361811233214,0.19909431035787728
